catchment,network,year,mmwr_year,mmwr_week,age_category,sex,race,cumulative_rate,weekly_rate,derived_date
Georgia,EIP,2020-21,2020,10,0-4 yr,Overall,Overall,0,0,2020-03-04
Connecticut,EIP,2020-21,2020,10,0-4 yr,Overall,Overall,0,0,2020-03-04
Colorado,EIP,2020-21,2020,10,0-4 yr,Overall,Overall,0,0,2020-03-04
California,EIP,2020-21,2020,10,0-4 yr,Overall,Overall,0,0,2020-03-04
Oregon,EIP,2020-21,2020,10,0-4 yr,Overall,Overall,0,0,2020-03-04
Ohio,IHSP,2020-21,2020,10,0-4 yr,Overall,Overall,0,0,2020-03-04
New York,EIP,2020-21,2020,10,0-4 yr,Overall,Overall,0,0,2020-03-04
New Mexico,EIP,2020-21,2020,10,0-4 yr,Overall,Overall,0,0,2020-03-04
Minnesota,EIP,2020-21,2020,10,0-4 yr,Overall,Overall,0,0,2020-03-04
Michigan,IHSP,2020-21,2020,10,0-4 yr,Overall,Overall,0,0,2020-03-04
Maryland,EIP,2020-21,2020,10,0-4 yr,Overall,Overall,0,0,2020-03-04
Tennessee,EIP,2020-21,2020,10,0-4 yr,Overall,Overall,0,0,2020-03-04
Utah,IHSP,2020-21,2020,10,0-4 yr,Overall,Overall,0,0,2020-03-04
Iowa,IHSP,2020-21,2020,10,0-4 yr,Overall,Overall,0,0,2020-03-04
Colorado,EIP,2020-21,2020,11,0-4 yr,Overall,Overall,0,0,2020-03-11
California,EIP,2020-21,2020,11,0-4 yr,Overall,Overall,0,0,2020-03-11
Connecticut,EIP,2020-21,2020,11,0-4 yr,Overall,Overall,0,0,2020-03-11
Georgia,EIP,2020-21,2020,11,0-4 yr,Overall,Overall,0,0,2020-03-11
Iowa,IHSP,2020-21,2020,11,0-4 yr,Overall,Overall,0,0,2020-03-11
Tennessee,EIP,2020-21,2020,11,0-4 yr,Overall,Overall,0,0,2020-03-11
Utah,IHSP,2020-21,2020,11,0-4 yr,Overall,Overall,0,0,2020-03-11
Michigan,IHSP,2020-21,2020,11,0-4 yr,Overall,Overall,0,0,2020-03-11
Maryland,EIP,2020-21,2020,11,0-4 yr,Overall,Overall,0,0,2020-03-11
New Mexico,EIP,2020-21,2020,11,0-4 yr,Overall,Overall,0,0,2020-03-11
Minnesota,EIP,2020-21,2020,11,0-4 yr,Overall,Overall,0,0,2020-03-11
Ohio,IHSP,2020-21,2020,11,0-4 yr,Overall,Overall,0,0,2020-03-11
New York,EIP,2020-21,2020,11,0-4 yr,Overall,Overall,0,0,2020-03-11
Oregon,EIP,2020-21,2020,11,0-4 yr,Overall,Overall,0,0,2020-03-11
Tennessee,EIP,2020-21,2020,12,0-4 yr,Overall,Overall,0,0,2020-03-18
Iowa,IHSP,2020-21,2020,12,0-4 yr,Overall,Overall,0,0,2020-03-18
Maryland,EIP,2020-21,2020,12,0-4 yr,Overall,Overall,0,0,2020-03-18
Utah,IHSP,2020-21,2020,12,0-4 yr,Overall,Overall,0,0,2020-03-18
Georgia,EIP,2020-21,2020,12,0-4 yr,Overall,Overall,0,0,2020-03-18
Connecticut,EIP,2020-21,2020,12,0-4 yr,Overall,Overall,0,0,2020-03-18
Colorado,EIP,2020-21,2020,12,0-4 yr,Overall,Overall,0,0,2020-03-18
California,EIP,2020-21,2020,12,0-4 yr,Overall,Overall,0,0,2020-03-18
Oregon,EIP,2020-21,2020,12,0-4 yr,Overall,Overall,0,0,2020-03-18
Ohio,IHSP,2020-21,2020,12,0-4 yr,Overall,Overall,0,0,2020-03-18
New York,EIP,2020-21,2020,12,0-4 yr,Overall,Overall,0,0,2020-03-18
New Mexico,EIP,2020-21,2020,12,0-4 yr,Overall,Overall,0,0,2020-03-18
Minnesota,EIP,2020-21,2020,12,0-4 yr,Overall,Overall,0,0,2020-03-18
Michigan,IHSP,2020-21,2020,12,0-4 yr,Overall,Overall,0,0,2020-03-18
