catchment,network,year,mmwr_year,mmwr_week,age_category,sex,race,cumulative_rate,weekly_rate,derived_date
Iowa,IHSP,2020-21,2020,10,Overall,Overall,Overall,0,0,2020-03-04
Tennessee,EIP,2020-21,2020,10,Overall,Overall,Overall,0.1,0.1,2020-03-04
Utah,IHSP,2020-21,2020,10,Overall,Overall,Overall,0,0,2020-03-04
Maryland,EIP,2020-21,2020,10,Overall,Overall,Overall,0.1,0.1,2020-03-04
Michigan,IHSP,2020-21,2020,10,Overall,Overall,Overall,0.1,0.1,2020-03-04
Minnesota,EIP,2020-21,2020,10,Overall,Overall,Overall,0,0,2020-03-04
New Mexico,EIP,2020-21,2020,10,Overall,Overall,Overall,0,0,2020-03-04
New York,EIP,2020-21,2020,10,Overall,Overall,Overall,0.1,0.1,2020-03-04
Ohio,IHSP,2020-21,2020,10,Overall,Overall,Overall,0,0,2020-03-04
Oregon,EIP,2020-21,2020,10,Overall,Overall,Overall,0.1,0.1,2020-03-04
Georgia,EIP,2020-21,2020,10,Overall,Overall,Overall,0.4,0.4,2020-03-04
California,EIP,2020-21,2020,10,Overall,Overall,Overall,0.2,0.2,2020-03-04
Colorado,EIP,2020-21,2020,10,Overall,Overall,Overall,0.1,0.1,2020-03-04
Connecticut,EIP,2020-21,2020,10,Overall,Overall,Overall,0,0,2020-03-04
Connecticut,EIP,2020-21,2020,11,Overall,Overall,Overall,1,1,2020-03-11
Colorado,EIP,2020-21,2020,11,Overall,Overall,Overall,1,0.9,2020-03-11
California,EIP,2020-21,2020,11,Overall,Overall,Overall,0.9,0.7,2020-03-11
Georgia,EIP,2020-21,2020,11,Overall,Overall,Overall,2.5,2.1,2020-03-11
Oregon,EIP,2020-21,2020,11,Overall,Overall,Overall,0.5,0.5,2020-03-11
Ohio,IHSP,2020-21,2020,11,Overall,Overall,Overall,0.4,0.3,2020-03-11
New York,EIP,2020-21,2020,11,Overall,Overall,Overall,0.6,0.6,2020-03-11
New Mexico,EIP,2020-21,2020,11,Overall,Overall,Overall,0.3,0.3,2020-03-11
Minnesota,EIP,2020-21,2020,11,Overall,Overall,Overall,0.1,0.1,2020-03-11
Michigan,IHSP,2020-21,2020,11,Overall,Overall,Overall,0.1,0,2020-03-11
Maryland,EIP,2020-21,2020,11,Overall,Overall,Overall,0.3,0.3,2020-03-11
Utah,IHSP,2020-21,2020,11,Overall,Overall,Overall,0.2,0.2,2020-03-11
Tennessee,EIP,2020-21,2020,11,Overall,Overall,Overall,0.7,0.6,2020-03-11
Iowa,IHSP,2020-21,2020,11,Overall,Overall,Overall,0,0,2020-03-11
Iowa,IHSP,2020-21,2020,12,Overall,Overall,Overall,0.8,0.8,2020-03-18
Tennessee,EIP,2020-21,2020,12,Overall,Overall,Overall,3.2,2.5,2020-03-18
Utah,IHSP,2020-21,2020,12,Overall,Overall,Overall,1.2,1,2020-03-18
Maryland,EIP,2020-21,2020,12,Overall,Overall,Overall,2.2,1.9,2020-03-18
Michigan,IHSP,2020-21,2020,12,Overall,Overall,Overall,4.5,4.4,2020-03-18
Minnesota,EIP,2020-21,2020,12,Overall,Overall,Overall,0.9,0.8,2020-03-18
New Mexico,EIP,2020-21,2020,12,Overall,Overall,Overall,0.7,0.4,2020-03-18
New York,EIP,2020-21,2020,12,Overall,Overall,Overall,2.9,2.2,2020-03-18
Ohio,IHSP,2020-21,2020,12,Overall,Overall,Overall,1.6,1.2,2020-03-18
Oregon,EIP,2020-21,2020,12,Overall,Overall,Overall,2.2,1.6,2020-03-18
Georgia,EIP,2020-21,2020,12,Overall,Overall,Overall,10.2,7.7,2020-03-18
California,EIP,2020-21,2020,12,Overall,Overall,Overall,3,2.1,2020-03-18
Colorado,EIP,2020-21,2020,12,Overall,Overall,Overall,6.1,5.1,2020-03-18
Connecticut,EIP,2020-21,2020,12,Overall,Overall,Overall,5.5,4.5,2020-03-18
Connecticut,EIP,2020-21,2020,13,Overall,Overall,Overall,25.3,19.8,2020-03-25
Colorado,EIP,2020-21,2020,13,Overall,Overall,Overall,21.5,15.4,2020-03-25
California,EIP,2020-21,2020,13,Overall,Overall,Overall,6.6,3.6,2020-03-25
Georgia,EIP,2020-21,2020,13,Overall,Overall,Overall,23.6,13.5,2020-03-25
Oregon,EIP,2020-21,2020,13,Overall,Overall,Overall,6.1,3.9,2020-03-25
Ohio,IHSP,2020-21,2020,13,Overall,Overall,Overall,4.6,3.1,2020-03-25
New York,EIP,2020-21,2020,13,Overall,Overall,Overall,9.3,6.5,2020-03-25
New Mexico,EIP,2020-21,2020,13,Overall,Overall,Overall,2.2,1.5,2020-03-25
Minnesota,EIP,2020-21,2020,13,Overall,Overall,Overall,2.9,2,2020-03-25
Michigan,IHSP,2020-21,2020,13,Overall,Overall,Overall,19,14.6,2020-03-25
Maryland,EIP,2020-21,2020,13,Overall,Overall,Overall,9.8,7.5,2020-03-25
Utah,IHSP,2020-21,2020,13,Overall,Overall,Overall,3.3,2.1,2020-03-25
Tennessee,EIP,2020-21,2020,13,Overall,Overall,Overall,11.4,8.1,2020-03-25
Iowa,IHSP,2020-21,2020,13,Overall,Overall,Overall,0.8,0,2020-03-25
Iowa,IHSP,2020-21,2020,14,Overall,Overall,Overall,1.5,0.8,2020-04-01
Tennessee,EIP,2020-21,2020,14,Overall,Overall,Overall,20.3,8.9,2020-04-01
Utah,IHSP,2020-21,2020,14,Overall,Overall,Overall,5.7,2.4,2020-04-01
Maryland,EIP,2020-21,2020,14,Overall,Overall,Overall,21.4,11.6,2020-04-01
Michigan,IHSP,2020-21,2020,14,Overall,Overall,Overall,41.3,22.2,2020-04-01
Minnesota,EIP,2020-21,2020,14,Overall,Overall,Overall,5.8,2.9,2020-04-01
New Mexico,EIP,2020-21,2020,14,Overall,Overall,Overall,4.7,2.6,2020-04-01
New York,EIP,2020-21,2020,14,Overall,Overall,Overall,18.7,9.4,2020-04-01
Ohio,IHSP,2020-21,2020,14,Overall,Overall,Overall,9,4.3,2020-04-01
Oregon,EIP,2020-21,2020,14,Overall,Overall,Overall,10.1,4.1,2020-04-01
Georgia,EIP,2020-21,2020,14,Overall,Overall,Overall,33.6,9.9,2020-04-01
California,EIP,2020-21,2020,14,Overall,Overall,Overall,10.3,3.7,2020-04-01
Colorado,EIP,2020-21,2020,14,Overall,Overall,Overall,39.8,18.3,2020-04-01
Connecticut,EIP,2020-21,2020,14,Overall,Overall,Overall,61.1,35.8,2020-04-01
Connecticut,EIP,2020-21,2020,15,Overall,Overall,Overall,101.9,40.9,2020-04-08
Colorado,EIP,2020-21,2020,15,Overall,Overall,Overall,55,15.2,2020-04-08
California,EIP,2020-21,2020,15,Overall,Overall,Overall,14.3,4,2020-04-08
Georgia,EIP,2020-21,2020,15,Overall,Overall,Overall,41.4,7.8,2020-04-08
Oregon,EIP,2020-21,2020,15,Overall,Overall,Overall,13,2.8,2020-04-08
Ohio,IHSP,2020-21,2020,15,Overall,Overall,Overall,12.7,3.8,2020-04-08
New York,EIP,2020-21,2020,15,Overall,Overall,Overall,25.5,6.8,2020-04-08
New Mexico,EIP,2020-21,2020,15,Overall,Overall,Overall,7.3,2.6,2020-04-08
Minnesota,EIP,2020-21,2020,15,Overall,Overall,Overall,10.1,4.3,2020-04-08
Michigan,IHSP,2020-21,2020,15,Overall,Overall,Overall,56.7,15.4,2020-04-08
Maryland,EIP,2020-21,2020,15,Overall,Overall,Overall,36.4,15,2020-04-08
Tennessee,EIP,2020-21,2020,15,Overall,Overall,Overall,25.4,5.1,2020-04-08
Utah,IHSP,2020-21,2020,15,Overall,Overall,Overall,8.7,3,2020-04-08
Iowa,IHSP,2020-21,2020,15,Overall,Overall,Overall,9.9,8.4,2020-04-08
Iowa,IHSP,2020-21,2020,16,Overall,Overall,Overall,28.2,18.3,2020-04-15
Tennessee,EIP,2020-21,2020,16,Overall,Overall,Overall,30.1,4.7,2020-04-15
Utah,IHSP,2020-21,2020,16,Overall,Overall,Overall,12.5,3.8,2020-04-15
Maryland,EIP,2020-21,2020,16,Overall,Overall,Overall,55,18.6,2020-04-15
Michigan,IHSP,2020-21,2020,16,Overall,Overall,Overall,69.6,12.9,2020-04-15
Minnesota,EIP,2020-21,2020,16,Overall,Overall,Overall,16,5.8,2020-04-15
New Mexico,EIP,2020-21,2020,16,Overall,Overall,Overall,11.9,4.6,2020-04-15
New York,EIP,2020-21,2020,16,Overall,Overall,Overall,31.4,5.9,2020-04-15
Ohio,IHSP,2020-21,2020,16,Overall,Overall,Overall,17.3,4.6,2020-04-15
Oregon,EIP,2020-21,2020,16,Overall,Overall,Overall,16.1,3.1,2020-04-15
Georgia,EIP,2020-21,2020,16,Overall,Overall,Overall,49.3,7.9,2020-04-15
California,EIP,2020-21,2020,16,Overall,Overall,Overall,17.8,3.5,2020-04-15
Colorado,EIP,2020-21,2020,16,Overall,Overall,Overall,70.1,15.1,2020-04-15
Connecticut,EIP,2020-21,2020,16,Overall,Overall,Overall,141.9,39.9,2020-04-15
Connecticut,EIP,2020-21,2020,17,Overall,Overall,Overall,173.5,31.7,2020-04-22
Colorado,EIP,2020-21,2020,17,Overall,Overall,Overall,83.8,13.8,2020-04-22
California,EIP,2020-21,2020,17,Overall,Overall,Overall,20,2.2,2020-04-22
Georgia,EIP,2020-21,2020,17,Overall,Overall,Overall,56,6.8,2020-04-22
Oregon,EIP,2020-21,2020,17,Overall,Overall,Overall,18.7,2.6,2020-04-22
Ohio,IHSP,2020-21,2020,17,Overall,Overall,Overall,22.6,5.2,2020-04-22
New York,EIP,2020-21,2020,17,Overall,Overall,Overall,37.9,6.4,2020-04-22
New Mexico,EIP,2020-21,2020,17,Overall,Overall,Overall,15.7,3.8,2020-04-22
Minnesota,EIP,2020-21,2020,17,Overall,Overall,Overall,23.2,7.2,2020-04-22
Michigan,IHSP,2020-21,2020,17,Overall,Overall,Overall,76.6,7,2020-04-22
Maryland,EIP,2020-21,2020,17,Overall,Overall,Overall,74.8,19.8,2020-04-22
Utah,IHSP,2020-21,2020,17,Overall,Overall,Overall,17.4,4.9,2020-04-22
Tennessee,EIP,2020-21,2020,17,Overall,Overall,Overall,35.1,5,2020-04-22
Iowa,IHSP,2020-21,2020,17,Overall,Overall,Overall,54.9,26.7,2020-04-22
Iowa,IHSP,2020-21,2020,18,Overall,Overall,Overall,78.5,23.6,2020-04-29
Tennessee,EIP,2020-21,2020,18,Overall,Overall,Overall,40.4,5.3,2020-04-29
Utah,IHSP,2020-21,2020,18,Overall,Overall,Overall,21.5,4.1,2020-04-29
Maryland,EIP,2020-21,2020,18,Overall,Overall,Overall,94.6,19.8,2020-04-29
Michigan,IHSP,2020-21,2020,18,Overall,Overall,Overall,81.1,4.5,2020-04-29
Minnesota,EIP,2020-21,2020,18,Overall,Overall,Overall,33.4,10.2,2020-04-29
New Mexico,EIP,2020-21,2020,18,Overall,Overall,Overall,21,5.3,2020-04-29
New York,EIP,2020-21,2020,18,Overall,Overall,Overall,43,5.2,2020-04-29
Ohio,IHSP,2020-21,2020,18,Overall,Overall,Overall,28.6,6,2020-04-29
Oregon,EIP,2020-21,2020,18,Overall,Overall,Overall,20.4,1.6,2020-04-29
Georgia,EIP,2020-21,2020,18,Overall,Overall,Overall,62.2,6.1,2020-04-29
California,EIP,2020-21,2020,18,Overall,Overall,Overall,22.5,2.5,2020-04-29
Colorado,EIP,2020-21,2020,18,Overall,Overall,Overall,95.5,11.6,2020-04-29
Connecticut,EIP,2020-21,2020,18,Overall,Overall,Overall,201.9,28.4,2020-04-29
Connecticut,EIP,2020-21,2020,19,Overall,Overall,Overall,226,24.1,2020-05-06
Colorado,EIP,2020-21,2020,19,Overall,Overall,Overall,103.9,8.5,2020-05-06
California,EIP,2020-21,2020,19,Overall,Overall,Overall,24.9,2.4,2020-05-06
Georgia,EIP,2020-21,2020,19,Overall,Overall,Overall,67.3,5.1,2020-05-06
Oregon,EIP,2020-21,2020,19,Overall,Overall,Overall,21.5,1.1,2020-05-06
Ohio,IHSP,2020-21,2020,19,Overall,Overall,Overall,33.5,5,2020-05-06
New York,EIP,2020-21,2020,19,Overall,Overall,Overall,47.9,4.9,2020-05-06
New Mexico,EIP,2020-21,2020,19,Overall,Overall,Overall,26.8,5.8,2020-05-06
Minnesota,EIP,2020-21,2020,19,Overall,Overall,Overall,43.7,10.3,2020-05-06
Michigan,IHSP,2020-21,2020,19,Overall,Overall,Overall,83.9,2.8,2020-05-06
Maryland,EIP,2020-21,2020,19,Overall,Overall,Overall,112.3,17.6,2020-05-06
Utah,IHSP,2020-21,2020,19,Overall,Overall,Overall,25.1,3.6,2020-05-06
Tennessee,EIP,2020-21,2020,19,Overall,Overall,Overall,45.8,5.4,2020-05-06
Iowa,IHSP,2020-21,2020,19,Overall,Overall,Overall,89.2,10.7,2020-05-06
Iowa,IHSP,2020-21,2020,20,Overall,Overall,Overall,100.6,11.4,2020-05-13
Tennessee,EIP,2020-21,2020,20,Overall,Overall,Overall,49.1,3.3,2020-05-13
Utah,IHSP,2020-21,2020,20,Overall,Overall,Overall,28.4,3.4,2020-05-13
Maryland,EIP,2020-21,2020,20,Overall,Overall,Overall,128.2,15.9,2020-05-13
Michigan,IHSP,2020-21,2020,20,Overall,Overall,Overall,87,3.1,2020-05-13
Minnesota,EIP,2020-21,2020,20,Overall,Overall,Overall,54.9,11.2,2020-05-13
New Mexico,EIP,2020-21,2020,20,Overall,Overall,Overall,32.9,6.1,2020-05-13
New York,EIP,2020-21,2020,20,Overall,Overall,Overall,54.5,6.6,2020-05-13
Ohio,IHSP,2020-21,2020,20,Overall,Overall,Overall,38,4.4,2020-05-13
Oregon,EIP,2020-21,2020,20,Overall,Overall,Overall,22.6,1.1,2020-05-13
Georgia,EIP,2020-21,2020,20,Overall,Overall,Overall,72.5,5.2,2020-05-13
California,EIP,2020-21,2020,20,Overall,Overall,Overall,27,2.1,2020-05-13
Colorado,EIP,2020-21,2020,20,Overall,Overall,Overall,111.6,7.6,2020-05-13
Connecticut,EIP,2020-21,2020,20,Overall,Overall,Overall,244,18,2020-05-13
Connecticut,EIP,2020-21,2020,21,Overall,Overall,Overall,257.4,13.4,2020-05-20
Colorado,EIP,2020-21,2020,21,Overall,Overall,Overall,118.7,7.1,2020-05-20
California,EIP,2020-21,2020,21,Overall,Overall,Overall,29.2,2.2,2020-05-20
Georgia,EIP,2020-21,2020,21,Overall,Overall,Overall,77.5,5,2020-05-20
Oregon,EIP,2020-21,2020,21,Overall,Overall,Overall,23.9,1.3,2020-05-20
Ohio,IHSP,2020-21,2020,21,Overall,Overall,Overall,42.8,4.9,2020-05-20
New York,EIP,2020-21,2020,21,Overall,Overall,Overall,60.8,6.3,2020-05-20
New Mexico,EIP,2020-21,2020,21,Overall,Overall,Overall,38.2,5.4,2020-05-20
Minnesota,EIP,2020-21,2020,21,Overall,Overall,Overall,67.4,12.5,2020-05-20
Michigan,IHSP,2020-21,2020,21,Overall,Overall,Overall,88.8,1.8,2020-05-20
Maryland,EIP,2020-21,2020,21,Overall,Overall,Overall,142.4,14.1,2020-05-20
Utah,IHSP,2020-21,2020,21,Overall,Overall,Overall,34.2,5.8,2020-05-20
Tennessee,EIP,2020-21,2020,21,Overall,Overall,Overall,53.9,4.8,2020-05-20
Iowa,IHSP,2020-21,2020,21,Overall,Overall,Overall,112.8,12.2,2020-05-20
Iowa,IHSP,2020-21,2020,22,Overall,Overall,Overall,118.1,5.3,2020-05-27
Tennessee,EIP,2020-21,2020,22,Overall,Overall,Overall,58.7,4.9,2020-05-27
Utah,IHSP,2020-21,2020,22,Overall,Overall,Overall,38.4,4.2,2020-05-27
Maryland,EIP,2020-21,2020,22,Overall,Overall,Overall,154.3,12,2020-05-27
Michigan,IHSP,2020-21,2020,22,Overall,Overall,Overall,90.6,1.8,2020-05-27
Minnesota,EIP,2020-21,2020,22,Overall,Overall,Overall,77.8,10.4,2020-05-27
New Mexico,EIP,2020-21,2020,22,Overall,Overall,Overall,42.2,4,2020-05-27
New York,EIP,2020-21,2020,22,Overall,Overall,Overall,65.8,5,2020-05-27
Ohio,IHSP,2020-21,2020,22,Overall,Overall,Overall,47.9,5.1,2020-05-27
Oregon,EIP,2020-21,2020,22,Overall,Overall,Overall,24.7,0.8,2020-05-27
Georgia,EIP,2020-21,2020,22,Overall,Overall,Overall,82,4.5,2020-05-27
California,EIP,2020-21,2020,22,Overall,Overall,Overall,31.6,2.5,2020-05-27
Colorado,EIP,2020-21,2020,22,Overall,Overall,Overall,122.9,4.2,2020-05-27
Connecticut,EIP,2020-21,2020,22,Overall,Overall,Overall,266,8.7,2020-05-27
Connecticut,EIP,2020-21,2020,23,Overall,Overall,Overall,272.1,6.1,2020-06-03
Colorado,EIP,2020-21,2020,23,Overall,Overall,Overall,125.4,2.4,2020-06-03
California,EIP,2020-21,2020,23,Overall,Overall,Overall,34.5,2.8,2020-06-03
Georgia,EIP,2020-21,2020,23,Overall,Overall,Overall,86.7,4.8,2020-06-03
Oregon,EIP,2020-21,2020,23,Overall,Overall,Overall,26.1,1.4,2020-06-03
Ohio,IHSP,2020-21,2020,23,Overall,Overall,Overall,50.9,3,2020-06-03
New York,EIP,2020-21,2020,23,Overall,Overall,Overall,68.5,2.7,2020-06-03
New Mexico,EIP,2020-21,2020,23,Overall,Overall,Overall,46.8,4.6,2020-06-03
Minnesota,EIP,2020-21,2020,23,Overall,Overall,Overall,84.4,6.6,2020-06-03
Michigan,IHSP,2020-21,2020,23,Overall,Overall,Overall,91.3,0.7,2020-06-03
Maryland,EIP,2020-21,2020,23,Overall,Overall,Overall,163.3,9,2020-06-03
Tennessee,EIP,2020-21,2020,23,Overall,Overall,Overall,65,6.2,2020-06-03
Utah,IHSP,2020-21,2020,23,Overall,Overall,Overall,43,4.6,2020-06-03
Iowa,IHSP,2020-21,2020,23,Overall,Overall,Overall,123.4,5.3,2020-06-03
Iowa,IHSP,2020-21,2020,24,Overall,Overall,Overall,128.8,5.3,2020-06-10
Tennessee,EIP,2020-21,2020,24,Overall,Overall,Overall,70.9,5.9,2020-06-10
Utah,IHSP,2020-21,2020,24,Overall,Overall,Overall,48.8,5.8,2020-06-10
Maryland,EIP,2020-21,2020,24,Overall,Overall,Overall,169.8,6.5,2020-06-10
Michigan,IHSP,2020-21,2020,24,Overall,Overall,Overall,91.8,0.5,2020-06-10
Minnesota,EIP,2020-21,2020,24,Overall,Overall,Overall,89.7,5.3,2020-06-10
New Mexico,EIP,2020-21,2020,24,Overall,Overall,Overall,50.4,3.7,2020-06-10
New York,EIP,2020-21,2020,24,Overall,Overall,Overall,70.4,1.9,2020-06-10
Ohio,IHSP,2020-21,2020,24,Overall,Overall,Overall,54,3.1,2020-06-10
Oregon,EIP,2020-21,2020,24,Overall,Overall,Overall,27.3,1.1,2020-06-10
Georgia,EIP,2020-21,2020,24,Overall,Overall,Overall,91.7,4.9,2020-06-10
California,EIP,2020-21,2020,24,Overall,Overall,Overall,36.7,2.3,2020-06-10
Colorado,EIP,2020-21,2020,24,Overall,Overall,Overall,127.3,1.9,2020-06-10
Connecticut,EIP,2020-21,2020,24,Overall,Overall,Overall,275.6,3.4,2020-06-10
Connecticut,EIP,2020-21,2020,25,Overall,Overall,Overall,277.7,2.2,2020-06-17
Colorado,EIP,2020-21,2020,25,Overall,Overall,Overall,129.6,2.3,2020-06-17
California,EIP,2020-21,2020,25,Overall,Overall,Overall,39.5,2.8,2020-06-17
Georgia,EIP,2020-21,2020,25,Overall,Overall,Overall,98.2,6.5,2020-06-17
Oregon,EIP,2020-21,2020,25,Overall,Overall,Overall,29.6,2.3,2020-06-17
Ohio,IHSP,2020-21,2020,25,Overall,Overall,Overall,56.7,2.7,2020-06-17
New York,EIP,2020-21,2020,25,Overall,Overall,Overall,72.3,1.9,2020-06-17
New Mexico,EIP,2020-21,2020,25,Overall,Overall,Overall,52.8,2.3,2020-06-17
Minnesota,EIP,2020-21,2020,25,Overall,Overall,Overall,94.3,4.6,2020-06-17
Michigan,IHSP,2020-21,2020,25,Overall,Overall,Overall,92.5,0.7,2020-06-17
Maryland,EIP,2020-21,2020,25,Overall,Overall,Overall,174.9,5.1,2020-06-17
Utah,IHSP,2020-21,2020,25,Overall,Overall,Overall,55.4,6.6,2020-06-17
Tennessee,EIP,2020-21,2020,25,Overall,Overall,Overall,77.1,6.2,2020-06-17
Iowa,IHSP,2020-21,2020,25,Overall,Overall,Overall,131.1,2.3,2020-06-17
Iowa,IHSP,2020-21,2020,26,Overall,Overall,Overall,135.6,4.6,2020-06-24
Tennessee,EIP,2020-21,2020,26,Overall,Overall,Overall,84.4,7.3,2020-06-24
Utah,IHSP,2020-21,2020,26,Overall,Overall,Overall,62.9,7.5,2020-06-24
Maryland,EIP,2020-21,2020,26,Overall,Overall,Overall,178.9,3.9,2020-06-24
Michigan,IHSP,2020-21,2020,26,Overall,Overall,Overall,93.3,0.7,2020-06-24
Minnesota,EIP,2020-21,2020,26,Overall,Overall,Overall,98.2,3.9,2020-06-24
New Mexico,EIP,2020-21,2020,26,Overall,Overall,Overall,55.4,2.6,2020-06-24
New York,EIP,2020-21,2020,26,Overall,Overall,Overall,73.7,1.4,2020-06-24
Ohio,IHSP,2020-21,2020,26,Overall,Overall,Overall,60.6,4,2020-06-24
Oregon,EIP,2020-21,2020,26,Overall,Overall,Overall,31.9,2.2,2020-06-24
Georgia,EIP,2020-21,2020,26,Overall,Overall,Overall,108.8,10.7,2020-06-24
California,EIP,2020-21,2020,26,Overall,Overall,Overall,43.5,4,2020-06-24
Colorado,EIP,2020-21,2020,26,Overall,Overall,Overall,132.3,2.7,2020-06-24
Connecticut,EIP,2020-21,2020,26,Overall,Overall,Overall,279.2,1.5,2020-06-24
Connecticut,EIP,2020-21,2020,27,Overall,Overall,Overall,281.1,1.9,2020-07-01
Colorado,EIP,2020-21,2020,27,Overall,Overall,Overall,135.5,3.2,2020-07-01
California,EIP,2020-21,2020,27,Overall,Overall,Overall,49.1,5.6,2020-07-01
Georgia,EIP,2020-21,2020,27,Overall,Overall,Overall,126.2,17.3,2020-07-01
Oregon,EIP,2020-21,2020,27,Overall,Overall,Overall,34.1,2.2,2020-07-01
Ohio,IHSP,2020-21,2020,27,Overall,Overall,Overall,64.4,3.8,2020-07-01
New York,EIP,2020-21,2020,27,Overall,Overall,Overall,75.2,1.5,2020-07-01
New Mexico,EIP,2020-21,2020,27,Overall,Overall,Overall,59.9,4.5,2020-07-01
Minnesota,EIP,2020-21,2020,27,Overall,Overall,Overall,102.7,4.5,2020-07-01
Michigan,IHSP,2020-21,2020,27,Overall,Overall,Overall,94.2,1,2020-07-01
Maryland,EIP,2020-21,2020,27,Overall,Overall,Overall,183.5,4.6,2020-07-01
Tennessee,EIP,2020-21,2020,27,Overall,Overall,Overall,93,8.5,2020-07-01
Utah,IHSP,2020-21,2020,27,Overall,Overall,Overall,71,8.1,2020-07-01
Iowa,IHSP,2020-21,2020,27,Overall,Overall,Overall,141,5.3,2020-07-01
Iowa,IHSP,2020-21,2020,28,Overall,Overall,Overall,150.1,9.1,2020-07-08
Tennessee,EIP,2020-21,2020,28,Overall,Overall,Overall,107.3,14.3,2020-07-08
Utah,IHSP,2020-21,2020,28,Overall,Overall,Overall,79.7,8.7,2020-07-08
Maryland,EIP,2020-21,2020,28,Overall,Overall,Overall,188.7,5.2,2020-07-08
Michigan,IHSP,2020-21,2020,28,Overall,Overall,Overall,95.2,1,2020-07-08
Minnesota,EIP,2020-21,2020,28,Overall,Overall,Overall,107.6,5,2020-07-08
New Mexico,EIP,2020-21,2020,28,Overall,Overall,Overall,68.2,8.3,2020-07-08
New York,EIP,2020-21,2020,28,Overall,Overall,Overall,77.5,2.3,2020-07-08
